protocol,pooling,layer,model,n_seeds,r2_mean,r2_sd,r2_per_seed
pooled,mean,encoder,single_task,5,0.5128638383859935,0.012964599260463373,0.5207;0.5266;0.5004;0.4977;0.5189
pooled,mean,encoder,norm_w_denoise,5,0.5009627484504574,0.00957317444316119,0.5127;0.5057;0.4931;0.4894;0.5039
pooled,mean,encoder,norm_balanced,5,0.490762445948007,0.013266001136249246,0.5098;0.4907;0.4964;0.4806;0.4764
pooled,mean,encoder,norm_w_t60,5,0.5129838812433383,0.00735341534729772,0.5204;0.5167;0.5177;0.5047;0.5055
pooled,mean,tscb_1,single_task,5,0.6433798765434524,0.011922684187803618,0.6511;0.6409;0.6569;0.6255;0.6425
pooled,mean,tscb_1,norm_w_denoise,5,0.5926766184209618,0.013857308049900015,0.6158;0.5931;0.5823;0.5907;0.5816
pooled,mean,tscb_1,norm_balanced,5,0.622507713827708,0.009561440695716373,0.6385;0.6223;0.6199;0.6189;0.6130
pooled,mean,tscb_1,norm_w_t60,5,0.6571268733728516,0.011899756662902874,0.6590;0.6552;0.6764;0.6491;0.6459
pooled,mean,tscb_2,single_task,5,0.7384572764545915,0.009499694397039463,0.7395;0.7402;0.7503;0.7238;0.7385
pooled,mean,tscb_2,norm_w_denoise,5,0.6631071602558664,0.006841521617109603,0.6729;0.6673;0.6561;0.6587;0.6606
pooled,mean,tscb_2,norm_balanced,5,0.692111629313462,0.013868072799570443,0.7140;0.6973;0.6797;0.6859;0.6836
pooled,mean,tscb_2,norm_w_t60,5,0.7330659566689335,0.010156479350008314,0.7398;0.7432;0.7302;0.7172;0.7349
pooled,multistats,encoder,single_task,5,0.5551848592748617,0.017842371678311923,0.5601;0.5637;0.5235;0.5628;0.5658
pooled,multistats,encoder,norm_w_denoise,5,0.5536719387105119,0.008212428604995367,0.5619;0.5511;0.5421;0.5519;0.5613
pooled,multistats,encoder,norm_balanced,5,0.5433397823595312,0.012217468902322509,0.5563;0.5431;0.5233;0.5460;0.5480
pooled,multistats,encoder,norm_w_t60,5,0.5428920042639197,0.01283131543567682,0.5589;0.5526;0.5389;0.5267;0.5374
pooled,multistats,tscb_1,single_task,5,0.6680884286765089,0.013017340139930148,0.6781;0.6698;0.6801;0.6476;0.6649
pooled,multistats,tscb_1,norm_w_denoise,5,0.6216778109322989,0.011326923453780518,0.6333;0.6285;0.6084;0.6107;0.6275
pooled,multistats,tscb_1,norm_balanced,5,0.6756401080749703,0.008969183851557297,0.6916;0.6712;0.6717;0.6706;0.6732
pooled,multistats,tscb_1,norm_w_t60,5,0.6862697287868247,0.005030223356865794,0.6917;0.6796;0.6909;0.6845;0.6847
pooled,multistats,tscb_2,single_task,5,0.7376672512294957,0.012888781381086104,0.7378;0.7457;0.7473;0.7155;0.7421
pooled,multistats,tscb_2,norm_w_denoise,5,0.6815895119102331,0.011949552266710092,0.6813;0.6882;0.6644;0.6777;0.6963
pooled,multistats,tscb_2,norm_balanced,5,0.7130047632012408,0.007518274642487579,0.7239;0.7172;0.7108;0.7059;0.7072
pooled,multistats,tscb_2,norm_w_t60,5,0.7374025801567431,0.009126993614479516,0.7420;0.7466;0.7281;0.7271;0.7432
l1o,mean,encoder,single_task,0,0.4714316767945872,0.05852275373257208,test1=0.4844;test2=0.3853;test3=0.5097;test4=0.5064
l1o,mean,encoder,norm_w_denoise,0,0.45779234102766503,0.051130538514025124,test1=0.4445;test2=0.3922;test3=0.4860;test4=0.5085
l1o,mean,encoder,norm_balanced,0,0.45659907361106133,0.04734104840547121,test1=0.4426;test2=0.3959;test3=0.4886;test4=0.4993
l1o,mean,encoder,norm_w_t60,0,0.47959532187815074,0.037778999593870904,test1=0.4659;test2=0.4354;test3=0.4933;test4=0.5238
l1o,mean,tscb_1,single_task,0,0.6271111979002426,0.03763617589181582,test1=0.6455;test2=0.5708;test3=0.6429;test4=0.6493
l1o,mean,tscb_1,norm_w_denoise,0,0.566146810363982,0.03326851279533636,test1=0.5794;test2=0.5169;test3=0.5779;test4=0.5904
l1o,mean,tscb_1,norm_balanced,0,0.6034874493792921,0.017686260620110753,test1=0.6176;test2=0.5791;test3=0.6019;test4=0.6154
l1o,mean,tscb_1,norm_w_t60,0,0.6432730567633084,0.015600644468804213,test1=0.6484;test2=0.6225;test3=0.6424;test4=0.6598
l1o,mean,tscb_2,single_task,0,0.7254468029605592,0.0134739526592787,test1=0.7349;test2=0.7055;test3=0.7319;test4=0.7295
l1o,mean,tscb_2,norm_w_denoise,0,0.6413423758474416,0.018830140537245407,test1=0.6464;test2=0.6148;test3=0.6451;test4=0.6592
l1o,mean,tscb_2,norm_balanced,0,0.682882273670625,0.015353410909101672,test1=0.6947;test2=0.6635;test3=0.6957;test4=0.6777
l1o,mean,tscb_2,norm_w_t60,0,0.7208983043946892,0.003337002107838729,test1=0.7171;test2=0.7195;test3=0.7249;test4=0.7221
l1o,multistats,encoder,single_task,0,0.5080994193334608,0.07135564044471056,test1=0.5113;test2=0.4066;test3=0.5655;test4=0.5490
l1o,multistats,encoder,norm_w_denoise,0,0.5214772903363329,0.06128062309026576,test1=0.5106;test2=0.4391;test3=0.5658;test4=0.5705
l1o,multistats,encoder,norm_balanced,0,0.5138962186025459,0.05297992726636226,test1=0.5001;test2=0.4453;test3=0.5468;test4=0.5634
l1o,multistats,encoder,norm_w_t60,0,0.5095243196037924,0.045207805996435445,test1=0.4874;test2=0.4593;test3=0.5299;test4=0.5615
l1o,multistats,tscb_1,single_task,0,0.6590135505008985,0.029709384057540207,test1=0.6748;test2=0.6149;test3=0.6680;test4=0.6783
l1o,multistats,tscb_1,norm_w_denoise,0,0.5905061921765222,0.042853931937413346,test1=0.5876;test2=0.5312;test3=0.6169;test4=0.6263
l1o,multistats,tscb_1,norm_balanced,0,0.6442113594317935,0.01713545557943454,test1=0.6589;test2=0.6197;test3=0.6522;test4=0.6460
l1o,multistats,tscb_1,norm_w_t60,0,0.6665459723743139,0.009795551797514904,test1=0.6752;test2=0.6547;test3=0.6624;test4=0.6740
l1o,multistats,tscb_2,single_task,0,0.7292721244994036,0.01602161466963361,test1=0.7395;test2=0.7054;test3=0.7348;test4=0.7374
l1o,multistats,tscb_2,norm_w_denoise,0,0.6573135387065285,0.029719397466320668,test1=0.6653;test2=0.6135;test3=0.6719;test4=0.6785
l1o,multistats,tscb_2,norm_balanced,0,0.7039300459071333,0.01976503463911593,test1=0.7150;test2=0.6812;test3=0.7250;test4=0.6945
l1o,multistats,tscb_2,norm_w_t60,0,0.7233171206113813,0.001147155418692069,test1=0.7223;test2=0.7248;test3=0.7225;test4=0.7236
